178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
173,116,0,192,0,946.8,856.8,90,32.1
298,0,107,210,11,880,744,28,31.87
236,0,0,194,0,968,885,90,21.95
350,0,0,203,0,974,775,56,29.98
540,0,0,173,0,1125,613,180,71.62
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
157,236,0,192,0,935.4,781.2,3,9.69
331,0,0,192,0,978,825,360,41.24
322,149,0,186,8,951,709,28,52.42
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
387,20,94,157,13.9,938,845,7,45.9
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
331,0,0,192,0,978,825,3,13.52
525,0,0,189,0,1125,613,7,42.42
337.9,189,0,174.9,9.5,944.7,755.8,28,49.9
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
281,0,0,185,0,1104,774,28,22.44
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
159,209,161,201,7,848,669,28,30.88
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
139.6,209.4,0,192,0,1047,806.9,90,39.36
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
380,0,0,228,0,932,670,365,52.52
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
389.9,189,0,145.9,22,944.7,755.8,3,40.6
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
310,143,0,168,10,914,804,28,45.3
522,0,0,146,0,896,896,7,50.51
382,0,0,185,0,1047,739,28,37.42
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
349,0,0,192,0,1047,806,28,32.72
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
389.9,189,0,145.9,22,944.7,755.8,91,82.6
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
164,163,128,197,8,961,641,28,27.23
275,180,120,162,10.4,830,765,28,76.24
349,0,0,192,0,1047,806,360,42.13
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
202,11,141,206,1.7,942,801,28,21.97
400,0,0,187,0,1025,745,7,30.14
446,24,79,162,11.6,967,712,28,57.03
141.3,212,0,203.5,0,971.8,748.5,90,39.66
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
333,17.5,163,167,17.9,996,652,28,47.28
149,153,194,192,8,935,623,28,24.58
350,0,0,203,0,974,775,90,31.35
332.5,142.5,0,228,0,932,594,365,41.05
159,149,116,175,15,953,720,28,27.68
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
380,95,0,228,0,932,594,365,43.7
339,0,0,185,0,1069,754,7,21.16
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
331,0,0,192,0,978,825,180,39
